"page","product_id","image","name","ref","price","quantity","status","edit_link","description","meta_title","meta_description","meta_keyword","tags","model","sku","length","width","height","weight","seo_keyword","date_available","image_main","extra_images"
1,"2776","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_7045-40x40.JPG","Amazonite 10x4mm Baguette Cut Gemstone Cabochon Pair","Ref:7045","4.0000","-10","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=2776&page=1","<h2 style=""text-align: center;""><div style=""margin: 0px; padding: 0px; border: 0px currentColor; border-image: none; color: rgb(51, 51, 51); line-height: normal; font-family: Arial, sans-serif, Verdana; font-size: 13px;""></div></h2><h2 style=""text-align: center;""><div style=""margin: 0px; padding: 0px; border: 0px currentColor; border-image: none; color: rgb(51, 51, 51); line-height: normal; font-family: Arial, sans-serif, Verdana; font-size: 13px;""></div></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);"">Ref:7340 Amazonite &nbsp;</span></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);"">10x4mm Baguette Cut Gemstone Cabochon Pair&nbsp;</span></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);"">2.5mm profile &nbsp;</span></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);"">2ct/0.4gm &nbsp;</span><br></h2><h3 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);""><br></span></h3><h4 style=""text-align: left;""><span style=""color: rgb(255, 0, 0);"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h4>","amazonite cabochon pair","10x4mm Baguette Cut Gemstone Cabochon Pair","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones,10mm  gemstones, baguette shaped gemstones, gemstone pairs","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones,10mm  gemstones, baguette shaped gemstones, gemstone pairs","Ref:7045","","10.00000000","4.00000000","2.50000000","0.40000000","Amazonite","2014-10-09","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_7045-100x100.JPG","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_7045-100x100.JPG"
1,"863","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1582-40x40.JPG","Amazonite 12mm Triangular Cut Gemstone Cabochon","Ref:1582","3.0000","1","Enabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=863&page=1","<h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">Ref:1582 Amazonite &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">12mm Triangular Cut Gemstone Cabochon &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">4mm profile &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">4ct/0.8gm</span><span style=""color: rgb(0, 0, 0); font-family: inherit; line-height: 1.1;"">&nbsp;&nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0); font-family: inherit; line-height: 1.1;""><br></span></h2><span style=""color: rgb(0, 0, 0); font-family: inherit; line-height: 1.1;""><h4 style=""box-sizing: border-box; font-family: 'Open Sans', sans-serif; font-weight: 500; line-height: 1.1; color: rgb(102, 102, 102); margin-top: 0px; margin-bottom: 8.5px; font-size: 15px; font-style: normal; font-variant: normal; letter-spacing: normal; orphans: auto; text-indent: 0px; text-transform: none; white-space: normal; widows: 1; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-align: left; background-color: rgb(255, 255, 255);""><span style=""box-sizing: border-box; color: rgb(255, 0, 0);"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h4><h2 style=""text-align: center; ""><i><u><sub><sup><strike><br></strike></sup></sub></u></i></h2></span><h2 style=""text-align: center; ""><br></h2>","Amazonite","green gemstones, Tringular  Cut Gemstones, cabochon gemstones, Tringular  Cut Cabochon, large gemstones","green gemstones, Tringular  Cut Gemstones, cabochon gemstones, Tringular  Cut Cabochon, large gemstones","green gemstones, Tringular  Cut Gemstones, cabochon gemstones, Tringular  Cut Cabochon, large gemstones","Ref:1582","","12.00000000","12.00000000","4.00000000","1.00000000","Amazonite","","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1582-100x100.JPG","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1582-100x100.JPG"
1,"864","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1574-40x40.JPG","Amazonite 15mm Square  Gemstone Cabochon","Ref:1574","4.0000","1","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=864&page=1","<h2 style=""text-align: center; ""><div style=""margin: 0px; padding: 0px; border: 0px; font-size: 13px; color: rgb(51, 51, 51); font-family: Arial, sans-serif, Verdana; line-height: normal; text-align: start;""></div></h2><h2 style=""text-align: center; ""><div style=""margin: 0px; padding: 0px; border: 0px; font-size: 13px; color: rgb(51, 51, 51); font-family: Arial, sans-serif, Verdana; line-height: normal; text-align: start;""></div></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">Ref:1574 Amazonite &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0); font-family: inherit; line-height: 1.1;"">15mm&nbsp;</span><span style=""color: rgb(0, 0, 0);"">Square&nbsp;</span><span style=""color: rgb(0, 0, 0); font-family: inherit; line-height: 1.1;"">&nbsp;Gemstone Cabochon &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">4mm profile &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">10ct/2.0gm &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);""><br></span></h2><h4 style=""box-sizing: border-box; font-family: inherit; font-weight: 500; line-height: 1.1; color: rgb(68, 68, 68); margin-top: 10px; margin-bottom: 10px; font-size: 15px; text-align: left;""><span style=""box-sizing: border-box; color: rgb(255, 0, 0);"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h4><h3 style=""text-align: center; ""><br></h3>","amazonite gemstones","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones,  gemstones, Square  gemstones, amazonite cabochons","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones,  gemstones, Square  gemstones, amazonite cabochons","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones,  gemstones, Square gemstones, amazonite cabochons","Ref:1574","1574","15.00000000","15.00000000","4.00000000","2.00000000","Amazonite","2016-04-06","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1574-100x100.JPG","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1574-100x100.JPG"
1,"3085","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/2018/DSC_47837-40x40.jpg","Amazonite 15mm Square Cabochon","47837","3.0000","7","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=3085&page=1","<h2 dir=""ltr"" style=""line-height:1.584;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Amazonite&nbsp;</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">15mm Square Loose Gemstone Cabochon&nbsp;</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">4mm profile, approx.</span></h2><p><span id=""docs-internal-guid-1ae472cd-7fff-46ce-5f33-d771fb008e5b""></span></p><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">13.25 ct/ 2.65 g, approx.</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br></span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span id=""docs-internal-guid-4e7d49fe-7fff-7f94-eabe-c462dd02c570""></span></span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:11.5pt;font-family:Arial;color:#ff0000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h2>","Amazonite Cabochon","Amazonite, 
15mm Square Loose Gemstone Cabochon, 
4mm profile, approx.
13.25 ct/ 2.65 g, approx.
UK Gemstone Supplier, 
Free UK and EU Delivery.","","","47837","","15.00000000","15.00000000","4.00000000","2.65000000","","2019-11-22","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/2018/DSC_47837-100x100.jpg",""
1,"3084","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/2018/DSC_47842-40x40.jpg","Amazonite 20mm Round Cabochon","47842","3.8000","-2","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=3084&page=1","<h2 dir=""ltr"" style=""line-height:1.584;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Amazonite&nbsp;</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">20mm Round Loose Gemstone Cabochon&nbsp;</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">5.5mm profile, approx.</span></h2><h2 dir=""ltr"" style=""line-height:1.584;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span id=""docs-internal-guid-27420fe8-7fff-c1e2-5428-1fbfc119a6c7""></span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">17.50 ct/ 3.50 g, approx.</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br></span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span id=""docs-internal-guid-0c868d89-7fff-fa82-19d8-f470880985c0""></span></span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:11.5pt;font-family:Arial;color:#ff0000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h2>","Amazonite Gemstone","Amazonite 
20mm Round Loose Gemstone Cabochon 
5.5mm profile, approx.
17.50 ct/ 3.50 g, approx.
UK Gemstone Supplier, 
Free UK and EU Delivery.","","","47842","","20.00000000","20.00000000","5.50000000","3.50000000","Amazonite","2019-11-22","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/2018/DSC_47842-100x100.jpg",""
1,"918","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1779-40x40.JPG","Amazonite 20x15mm Rectangular  Gemstone Cabochon","Ref:1779","5.0000","-1","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=918&page=1","<h2 style=""text-align: center; ""><div style=""margin: 0px; padding: 0px; border: 0px; font-size: 13px; color: rgb(51, 51, 51); font-family: Arial, sans-serif, Verdana; line-height: normal; text-align: start;""></div></h2><h2 style=""text-align: center; ""><div style=""margin: 0px; padding: 0px; border: 0px; font-size: 13px; color: rgb(51, 51, 51); font-family: Arial, sans-serif, Verdana; line-height: normal; text-align: start;""></div></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">Ref:1779 Amazonite &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0); font-family: inherit; line-height: 1.1;"">20x15mm&nbsp;</span><span style=""color: rgb(0, 0, 0);"">Rectangular</span><span style=""color: rgb(0, 0, 0); font-family: inherit; line-height: 1.1;"">&nbsp;Gemstone Cabochon &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">4mm profile &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">11ct/2.2gm &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);""><br></span></h2><h4 style=""box-sizing: border-box; font-family: inherit; font-weight: 500; line-height: 1.1; color: rgb(68, 68, 68); margin-top: 10px; margin-bottom: 10px; font-size: 15px; text-align: left;""><span style=""box-sizing: border-box; color: rgb(255, 0, 0);"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h4>","amazonite","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones,  gemstones, Rectangular  gemstones, amazonite cabochons","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones,  gemstones, Rectangular gemstones, amazonite cabochons","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones,  gemstones, Rectangular gemstones, amazonite cabochons","Ref:1779","1779","19.00000000","15.00000000","4.00000000","2.20000000","Amazonite","2016-04-06","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1779-100x100.JPG","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1779-100x100.JPG"
1,"928","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1785-40x40.JPG","Amazonite 20x15mm Trapezium Cut Gemstone Cabochon","Ref:1785","3.5000","2","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=928&page=1","<h2 style=""text-align: center; ""><div style=""margin: 0px; padding: 0px; border: 0px; font-size: 13px; color: rgb(51, 51, 51); font-family: Arial, sans-serif, Verdana; line-height: normal; text-align: start;""></div></h2><h2 style=""text-align: center; ""><div style=""margin: 0px; padding: 0px; border: 0px; font-size: 13px; color: rgb(51, 51, 51); font-family: Arial, sans-serif, Verdana; line-height: normal; text-align: start;""></div></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">Ref:1785 Amazonite &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">20x15mm Trapezium Cut Gemstone Cabochon &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">4mm profile &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">9ct/1.8gm &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);""><br></span></h2><h4 style=""box-sizing: border-box; font-family: inherit; font-weight: 500; line-height: 1.1; color: rgb(68, 68, 68); margin-top: 10px; margin-bottom: 10px; font-size: 15px; text-align: left;""><span style=""box-sizing: border-box; color: rgb(255, 0, 0);"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h4><h4 style=""text-align: left;""><br></h4>","amazonite gemstones","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones,  gemstones, trapezium shaped gemstones, gemstone , Trapezium Cut gemstones","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones,  gemstones, trapezium shaped gemstones, gemstone , Trapezium Cut gemstones","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones,  gemstones, trapezium shaped gemstones, gemstone , Trapezium Cut gemstones","Ref:1785","1785","20.00000000","15.00000000","4.00000000","1.80000000","Amazonite","2016-04-30","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1785-100x100.JPG","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1785-100x100.JPG"
1,"917","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1792-40x40.JPG","Amazonite 20x8mm Oval Gemstone Cabochon","Ref:1792","3.0000","0","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=917&page=1","<h2 style=""text-align: center; ""><div style=""margin: 0px; padding: 0px; border: 0px; font-size: 13px; color: rgb(51, 51, 51); font-family: Arial, sans-serif, Verdana; line-height: normal; text-align: start;""></div></h2><h2 style=""text-align: center; ""><div style=""margin: 0px; padding: 0px; border: 0px; font-size: 13px; color: rgb(51, 51, 51); font-family: Arial, sans-serif, Verdana; line-height: normal; text-align: start;""></div></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">Ref:1792 Amazonite &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0); font-family: inherit; line-height: 1.1;"">20x8mm Oval Gemstone Cabochon &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">4mm profile &nbsp;</span></h2><h2 style=""text-align: center; ""><span style=""color: rgb(0, 0, 0);"">5.5ct/1.1gm &nbsp;</span><br></h2><h3 style=""text-align: center; ""><br></h3>","amazonite gemstones","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones, Oval gemstones, amazonite cabochons","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones, Oval gemstones, amazonite cabochons","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones, Oval gemstones, amazonite cabochons","Ref:1792","1792","20.00000000","8.00000000","4.00000000","1.10000000","Amazonite","2018-03-29","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1792-100x100.JPG","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1792-100x100.JPG"
1,"3082","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/Deena/DSC_47844d-40x40.jpg","Amazonite 30x10mm Marquise Cut Cabochon","47844","3.5000","0","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=3082&page=1","<h2 dir=""ltr"" style=""line-height:1.584;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Amazonite&nbsp;</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">30x10mm Marquise Cut Loose Gemstone Cabochon&nbsp;</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:0pt;padding:0pt 0pt 6pt 0pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">5.5mm profile, approx.</span></h2><p><span id=""docs-internal-guid-dc67b669-7fff-8c48-8ef3-fa5975b71060""></span></p><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">12.00 ct/ 2.40 g, approx.</span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><br></span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:19pt;font-family:Arial;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span id=""docs-internal-guid-1b56b6b2-7fff-af1b-d3ac-3026a25d4c49""></span></span></h2><h2 dir=""ltr"" style=""line-height:1.32;text-align: center;background-color:#ffffff;margin-top:0pt;margin-bottom:6pt;""><span style=""font-size:11.5pt;font-family:Arial;color:#ff0000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h2>","Amazonite Gemstone","Amazonite, 
30x10mm Marquise Cut Loose Gemstone Cabochon, 
5.5mm profile, approx.
12.00 ct/ 2.40 g, approx.
UK Gemstone Supplier, 
Free UK and EU Delivery.","","","47844","","30.00000000","10.00000000","5.50000000","2.40000000","amazonite","2019-11-22","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/Deena/DSC_47844d-100x100.jpg","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/Deena/DSC_47844c-100x100.jpg, https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/Deena/DSC_47844b-100x100.jpg"
1,"717","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1794-40x40.JPG","Amazonite 30x10mm Rectangular Gemstone Cabochon","Ref:1794","5.0000","1","Disabled","https://gemstonecabochon.com/gemstone-shop/admin/index.php?route=catalog/product/edit&token=25af907428fa268b4d3762ed51e7518d&product_id=717&page=1","<h2 style=""text-align: center;""><div style=""margin: 0px; padding: 0px; border: 0px currentColor; border-image: none; color: rgb(51, 51, 51); line-height: normal; font-family: Arial, sans-serif, Verdana; font-size: 13px;""></div></h2><h2 style=""text-align: center;""><div style=""margin: 0px; padding: 0px; border: 0px currentColor; border-image: none; color: rgb(51, 51, 51); line-height: normal; font-family: Arial, sans-serif, Verdana; font-size: 13px;""></div></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);"">Ref:1794 Amazonite &nbsp;</span></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);"">30x10mm Rectangular Gemstone Cabochon &nbsp;&nbsp;</span></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);"">4mm profile &nbsp;</span></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);"">12ct/2.4gm &nbsp;</span></h2><h2 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);""><br></span></h2><h4 style=""box-sizing: border-box; font-family: inherit; font-weight: 500; line-height: 1.1; color: rgb(68, 68, 68); margin-top: 10px; margin-bottom: 10px; font-size: 15px; text-align: left;""><span style=""box-sizing: border-box; color: rgb(255, 0, 0);"">For multiple item listings the markings/striation of your Gemstone Cabochon may vary from the illustrated item. Dimensions will remain the same but the weight may differ by half a carat or so either way.</span></h4><h3 style=""text-align: center;""><span style=""color: rgb(0, 0, 0);""><br></span></h3><h4 style=""text-align: left;""><br></h4>","amazonite","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones,   gemstones, Rectangular gemstones, gemstone","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones,   gemstones, Rectangular gemstones, gemstone","Amazonite, amazonite gemstones, feldspar gemstones, green gemstones, blue gemstones,   gemstones, Rectangular gemstones, gemstone","Ref:1794","1794","30.00000000","10.00000000","4.00000000","2.40000000","amazonite","2016-04-06","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1794-100x100.JPG","https://gemstonecabochon.com/gemstone-shop/image/cache/catalog/DSC_1794-100x100.JPG"
